"Date","Time","Open","High","Low","Close","Up","Down"
09/03/2021,02:00,19525.0,19525.0,18875.0,19012.5,0,0
09/03/2021,03:00,18975.0,19475.0,18825.0,19125.0,0,0
09/03/2021,04:00,19100.0,19200.0,18850.0,18987.5,0,0
09/03/2021,05:00,18962.5,19150.0,18875.0,19062.5,0,0
09/03/2021,06:00,19087.5,19250.0,19025.0,19137.5,0,0
09/03/2021,07:00,19137.5,19225.0,18862.5,19000.0,0,0
09/03/2021,08:00,19000.0,19075.0,18750.0,18887.5,0,0
09/03/2021,09:00,18887.5,19162.5,18775.0,18925.0,0,0
09/03/2021,10:00,18875.0,19187.5,18800.0,18987.5,0,0
09/03/2021,11:00,18975.0,19237.5,18825.0,19000.0,0,0
09/03/2021,12:00,19025.0,19112.5,18837.5,18837.5,0,0
09/03/2021,13:00,18812.5,19075.0,18712.5,18875.0,0,0
09/03/2021,14:00,18900.0,19250.0,18462.5,18937.5,0,0
09/03/2021,15:00,18925.0,19387.5,18737.5,19125.0,0,0
09/03/2021,16:00,19125.0,19400.0,18862.5,19225.0,0,0
09/03/2021,17:00,19200.0,19400.0,18900.0,19250.0,0,0
09/03/2021,18:00,19250.0,19312.5,18975.0,19062.5,0,0
09/06/2021,02:00,18887.5,19275.0,18675.0,19037.5,0,0
09/06/2021,03:00,19012.5,19350.0,18875.0,19100.0,0,0
09/06/2021,04:00,19075.0,19287.5,18887.5,19075.0,0,0
09/06/2021,05:00,19075.0,19287.5,18962.5,19012.5,0,0
09/06/2021,06:00,18987.5,19150.0,18937.5,19050.0,0,0
09/06/2021,07:00,19050.0,19275.0,18837.5,19075.0,0,0
09/06/2021,08:00,19050.0,19350.0,18887.5,18962.5,0,0
09/06/2021,09:00,18912.5,19225.0,18862.5,19075.0,0,0
09/06/2021,10:00,19075.0,19300.0,18912.5,18962.5,0,0
09/06/2021,11:00,19037.5,19225.0,18912.5,18975.0,0,0
09/06/2021,12:00,18950.0,19100.0,18887.5,19012.5,0,0
09/06/2021,13:00,19012.5,19137.5,18850.0,19025.0,0,0
09/06/2021,14:00,19075.0,19275.0,18862.5,19150.0,0,0
09/06/2021,15:00,19175.0,19375.0,18937.5,19162.5,0,0
09/06/2021,16:00,19137.5,19450.0,19050.0,19287.5,0,0
09/06/2021,17:00,19262.5,19412.5,18950.0,19112.5,0,0
09/06/2021,18:00,19125.0,19312.5,18912.5,19237.5,0,0
09/07/2021,02:00,19325.0,19325.0,18787.5,19050.0,0,0
09/07/2021,03:00,19075.0,19212.5,18850.0,18987.5,0,0
09/07/2021,04:00,18987.5,19225.0,18837.5,19112.5,0,0
09/07/2021,05:00,19112.5,19337.5,19000.0,19250.0,0,0
09/07/2021,06:00,19275.0,19325.0,19025.0,19250.0,0,0
09/07/2021,07:00,19225.0,19325.0,18975.0,19212.5,0,0
09/07/2021,08:00,19212.5,19400.0,18950.0,19087.5,0,0
09/07/2021,09:00,19125.0,19637.5,18575.0,19087.5,0,0
09/07/2021,10:00,19087.5,19400.0,18875.0,19000.0,0,0
09/07/2021,11:00,19025.0,19300.0,18837.5,19062.5,0,0
09/07/2021,12:00,19087.5,19250.0,18975.0,19025.0,0,0
09/07/2021,13:00,19075.0,19250.0,18800.0,19025.0,0,0
09/07/2021,14:00,19000.0,19200.0,18762.5,19037.5,0,0
09/07/2021,15:00,19037.5,19150.0,18775.0,18937.5,0,0
09/07/2021,16:00,18962.5,19200.0,18800.0,18975.0,0,0
09/07/2021,17:00,18950.0,19237.5,18862.5,19025.0,0,0
09/07/2021,18:00,18975.0,19225.0,18800.0,19025.0,0,0
09/08/2021,02:00,18975.0,19075.0,18750.0,19025.0,0,0
09/08/2021,03:00,19000.0,19237.5,18900.0,19050.0,0,0
09/08/2021,04:00,19025.0,19350.0,18887.5,19087.5,0,0
09/08/2021,05:00,19087.5,19350.0,18975.0,19187.5,0,0
09/08/2021,06:00,19225.0,19450.0,19125.0,19362.5,0,0
09/08/2021,07:00,19387.5,19400.0,19100.0,19250.0,0,0
09/08/2021,08:00,19325.0,19375.0,19050.0,19225.0,0,0
09/08/2021,09:00,19200.0,19825.0,19075.0,19337.5,0,0
09/08/2021,10:00,19362.5,19550.0,19025.0,19400.0,0,0
09/08/2021,11:00,19350.0,19500.0,19162.5,19387.5,0,0
09/08/2021,12:00,19387.5,19412.5,19050.0,19175.0,0,0
09/08/2021,13:00,19200.0,19375.0,18975.0,19200.0,0,0
09/08/2021,14:00,19175.0,19425.0,18887.5,19125.0,0,0
09/08/2021,15:00,19187.5,19537.5,18887.5,19275.0,0,0
09/08/2021,16:00,19250.0,19700.0,19150.0,19525.0,0,0
09/08/2021,17:00,19550.0,19700.0,19275.0,19525.0,0,0
09/08/2021,18:00,19475.0,19600.0,19200.0,19362.5,0,0
09/09/2021,02:00,19587.5,19775.0,19437.5,19625.0,0,0
09/09/2021,03:00,19625.0,19762.5,19275.0,19500.0,0,0
09/09/2021,04:00,19525.0,19825.0,19312.5,19775.0,0,0
09/09/2021,05:00,19775.0,19837.5,19462.5,19575.0,0,0
09/09/2021,06:00,19575.0,19887.5,19575.0,19725.0,0,0
09/09/2021,07:00,19725.0,19925.0,19537.5,19700.0,0,0
09/09/2021,08:00,19700.0,20025.0,19425.0,19625.0,0,0
09/09/2021,09:00,19600.0,19862.5,19475.0,19775.0,0,0
09/09/2021,10:00,19750.0,20000.0,19525.0,19737.5,0,0
09/09/2021,11:00,19712.5,19875.0,19500.0,19800.0,0,0
09/09/2021,12:00,19800.0,19862.5,19550.0,19612.5,0,0
09/09/2021,13:00,19637.5,19900.0,19512.5,19825.0,0,0
09/09/2021,14:00,19825.0,20037.5,19437.5,19862.5,0,0
09/09/2021,15:00,19862.5,20162.5,19675.0,19950.0,0,0
09/09/2021,16:00,19900.0,20100.0,19687.5,19850.0,0,0
09/09/2021,17:00,19850.0,20000.0,19575.0,19925.0,0,0
09/09/2021,18:00,19925.0,20037.5,19725.0,19750.0,0,0
09/10/2021,02:00,19800.0,19937.5,19650.0,19850.0,0,0
09/10/2021,03:00,19825.0,20025.0,19650.0,19800.0,0,0
09/10/2021,04:00,19800.0,20200.0,19437.5,19662.5,0,0
09/10/2021,05:00,19712.5,19975.0,19525.0,19662.5,0,0
09/10/2021,06:00,19687.5,19850.0,19525.0,19575.0,0,0
09/10/2021,07:00,19550.0,19962.5,19475.0,19675.0,0,0
09/10/2021,08:00,19675.0,19975.0,19500.0,19887.5,0,0
09/10/2021,09:00,19812.5,19900.0,19487.5,19700.0,0,0
09/10/2021,10:00,19675.0,19775.0,19437.5,19612.5,0,0
09/10/2021,11:00,19637.5,19762.5,19400.0,19537.5,0,0
09/10/2021,12:00,19550.0,19712.5,19362.5,19512.5,0,0
09/10/2021,13:00,19512.5,19650.0,19325.0,19462.5,0,0
09/10/2021,14:00,19487.5,19612.5,19275.0,19512.5,0,0
09/10/2021,15:00,19487.5,19875.0,19037.5,19412.5,0,0
09/10/2021,16:00,19387.5,19625.0,19237.5,19400.0,0,0
09/10/2021,17:00,19400.0,19700.0,19350.0,19600.0,0,0
09/10/2021,18:00,19600.0,19675.0,19362.5,19550.0,0,0
09/13/2021,02:00,19625.0,19750.0,18987.5,19575.0,0,0
09/13/2021,03:00,19525.0,20125.0,19262.5,19662.5,0,0
09/13/2021,04:00,19637.5,20000.0,19250.0,19875.0,0,0
09/13/2021,05:00,19875.0,20100.0,19550.0,19762.5,0,0
09/13/2021,06:00,19762.5,19875.0,19575.0,19687.5,0,0
09/13/2021,07:00,19712.5,20175.0,19525.0,20037.5,0,0
09/13/2021,08:00,20062.5,20162.5,19537.5,19850.0,0,0
09/13/2021,09:00,19850.0,20137.5,19325.0,19587.5,0,0
09/13/2021,10:00,19562.5,19775.0,19325.0,19562.5,0,0
09/13/2021,11:00,19587.5,19712.5,19250.0,19575.0,0,0
09/13/2021,12:00,19525.0,19650.0,19412.5,19487.5,0,0
09/13/2021,13:00,19462.5,19800.0,19237.5,19487.5,0,0
09/13/2021,14:00,19512.5,19675.0,19237.5,19487.5,0,0
09/13/2021,15:00,19437.5,19737.5,19125.0,19525.0,0,0
09/13/2021,16:00,19525.0,19912.5,19350.0,19700.0,0,0
09/13/2021,17:00,19737.5,19875.0,19450.0,19650.0,0,0
09/13/2021,18:00,19650.0,19862.5,19425.0,19575.0,0,0
09/14/2021,02:00,19687.5,20087.5,19400.0,19725.0,0,0
09/14/2021,03:00,19700.0,19987.5,19462.5,19787.5,0,0
09/14/2021,04:00,19762.5,19975.0,19475.0,19925.0,0,0
09/14/2021,05:00,19925.0,20075.0,19687.5,19912.5,0,0
09/14/2021,06:00,19937.5,19987.5,19775.0,19825.0,0,0
09/14/2021,07:00,19800.0,20025.0,19687.5,19962.5,0,0
09/14/2021,08:00,19800.0,20200.0,19437.5,19837.5,0,0
09/14/2021,09:00,19837.5,20150.0,19275.0,19800.0,0,0
09/14/2021,10:00,19850.0,19875.0,19387.5,19637.5,0,0
09/14/2021,11:00,19612.5,19812.5,19500.0,19775.0,0,0
09/14/2021,12:00,19750.0,19887.5,19525.0,19587.5,0,0
09/14/2021,13:00,19600.0,19975.0,19225.0,19600.0,0,0
09/14/2021,14:00,19575.0,19712.5,19250.0,19537.5,0,0
09/14/2021,15:00,19562.5,19875.0,19350.0,19725.0,0,0
09/14/2021,16:00,19725.0,19962.5,19500.0,19775.0,0,0
09/14/2021,17:00,19775.0,19850.0,19437.5,19487.5,0,0
09/14/2021,18:00,19537.5,19825.0,19362.5,19375.0,0,0
09/15/2021,02:00,19512.5,19812.5,19362.5,19700.0,0,0
09/15/2021,03:00,19675.0,19975.0,19475.0,19775.0,0,0
09/15/2021,04:00,19775.0,20012.5,19425.0,19850.0,0,0
09/15/2021,05:00,19875.0,19950.0,19700.0,19775.0,0,0
09/15/2021,06:00,19762.5,19887.5,19675.0,19800.0,0,0
09/15/2021,07:00,19800.0,20062.5,19462.5,19687.5,0,0
09/15/2021,08:00,19712.5,19950.0,19562.5,19787.5,0,0
09/15/2021,09:00,19762.5,19975.0,19562.5,19850.0,0,0
09/15/2021,10:00,19825.0,19925.0,19650.0,19787.5,0,0
09/15/2021,11:00,19812.5,20000.0,19712.5,19850.0,0,0
09/15/2021,12:00,19850.0,19875.0,19600.0,19700.0,0,0
09/15/2021,13:00,19675.0,19950.0,19625.0,19725.0,0,0
09/15/2021,14:00,19700.0,20000.0,19487.5,19775.0,0,0
09/15/2021,15:00,19800.0,19962.5,19212.5,19475.0,0,0
09/15/2021,16:00,19500.0,19675.0,19237.5,19400.0,0,0
09/15/2021,17:00,19400.0,19750.0,19250.0,19525.0,0,0
09/15/2021,18:00,19562.5,19675.0,19350.0,19462.5,0,0
09/16/2021,02:00,19475.0,19562.5,19225.0,19450.0,0,0
09/16/2021,03:00,19425.0,19725.0,19112.5,19450.0,0,0
09/16/2021,04:00,19450.0,19650.0,19250.0,19587.5,0,0
09/16/2021,05:00,19612.5,19725.0,19275.0,19375.0,0,0
09/16/2021,06:00,19350.0,19575.0,19175.0,19512.5,0,0
